Iophon nigricans
Iophon piceum
Ischyrocerus anguipes
Isididae
Isodictya deichmannae
Isodictya palmata
Isopoda
isopods
Jaera albifrons
Jassa falcata
Jassa marmorata
Jorunna tomentosa
Jujubinus exasperatus
Katelysia scalarina
Katharina tunicata
Knoutsodonta neapolitana
Knoutsodonta reticulata
Kyphosus sydneyanus
Labidesthes sicculus
Labidoplax buskii
Labrus bergylta
Lacuna vincta
Lagenorhynchus acutus
Lagenorhynchus albirostris
Lagis koreni
Lagodon rhomboides
Laminaria digitata
Laminaria longicruris
Lamna nasus
Lampanyctus crocodilus
Lanice conchilega
Laomedea
Laonice
Larus argentatus
Larus glaucescens
Larus marinus
Lebbeus polaris
Lecithaster gibbosus
Lecithochirium
Leiostomus xanthurus
Lepadomorpha
Lepeophtheirus salmonis
Lepidapedon rachion
Lepidochelys kempii
Lepidonotus squamatus
Lepidopleurina
Lepomis gibbosus
Lepomis macrochirus
Lepophidium profundorum
Leptasterias aequalis
Leptasterias hexactis
Leptasterias littoralis
Leptasterias polaris
Leptasterias tenera
Leptocheirus pinguis
Leptochiton asellus
Leptoclinus maculatus
Leptognathia breviremis
Leptogorgia sarmentosa
Leptostraca
Lernaeopodoida
Lesueurigobius friesii 
Leucippa pentagona
Leuckartiara 
Leucoraja erinacea
Leucoraja ocellata
Leucosolenia botryoides
Leukoma staminea
Levinsenia gracilis
Libinia
Libinia dubia
Libinia emarginata
Licmophora abbreviata
Lima
Limacia clavigera
Limacina
Limacina helicina
Limacina retroversa
Limanda ferruginea
Limanda limanda
Limandia ferruginea
Limnoithona tetraspin
Limulus polyphemus
Liocarcinus depurator
Liocarcinus holsatus
Liocarcinus pusillus
Lionotus pleurosigma 
Liparis gibbus
Lipophrys pholis
Lithodes maja
Lithognathus mormyrus
Lithothamnion
Lithothamnion glaciale
Litopenaeus setiferus
littorina
Littorina littorea
Littorina obtusata
Littorina obtusata 
Littorina saxatilis
Littorina sitkana
Livoneca ovalis
Livoneca redmanii
Loligo pealeii
Lolliguncula brevis
Lomanotus genei
Lomasoma wardi
Lontra canadensis
Lophiidae
Lophius americanus
Lophius piscatorius
Lophogobius cyprinoides
Lottia digitalis
Loveniidae
Loxoconcha
Lucernaria
Lumbrineridae
Lumbrineris
Lumbrineris 
Lumbrineris fragilis
Lumpenus fabricii
Lumpenus lampretaeformis
Lumpenus lumpretaeformis
Lunarca ovalis
Lunatia heros
Lutjanus synagris
Lutra canadensis
Lutra felina
Lutra lutra
Lycenchelys muraena
Lycodes
Lycodes vahlii
Lysianassidae
Lytechinus variegatus
Macoma balthica
Macoma calcarea
Macoma sp. 
Macropipus
Macropipus dupurator
Macrozoarces americanus
Majidae
Malaclemys terrapin
Malacostraca
Maldanidae
Mallotus villosus
Manania auricula
Margarites groelandicus
Margarites helicinus
Margarites umbilicalis
Marteilia
Marteilia refringens
Mastocarpus papillatus
Mastocarpus stellatus
Mastogloia
Maurolicus muelleri
Maurolicus weitzmani
Meganyctiphanes norvegica
Melanitta deglandi
Melanitta fusca
Melanitta nigra
Melanitta perspicillata
Melanogrammus aeglefinus
Melosira
Melosira nummuloides
Membranipora membranacea
Membras martinica
Menidia
Menidia menidia
Menticirrhus
Menticirrhus saxatilis
Mercenaria mercenaria
Mergus merganser
Mergus serrator
Merlangius merlangus
