sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,interactionTypeName,Paper ID,Reference DOI,sourceTaxonName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Buccinum undatum,Desmarestia viridis,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Desmarestia viridis,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,GBIF:5423348,Chromista | Ochrophyta | Phaeophyceae | Desmarestiales | Desmarestiaceae | Desmarestia | Desmarestia viridis,NA,NA,NA,NA,NA
Buccinum undatum,Fucus distichus,Subtidal,Intertidal,eats,NA,NA,Buccinum undatum,Fucus distichus,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,FBC:SLB:SpecCode:119259,Phaeophyceae | Fucales | Fucaceae | Fucus | Fucus distichus,NA,NA,NA,NA,NA
Buccinum undatum,Hiatella arctica,Subtidal,Intertidal,preys on,220,10.2307/2937130,Hiatella arctica,Buccinum undatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Laminaria digitata,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Laminaria digitata,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,EOL:919354,Chromista | Chromista | Phaeophyta | Phaeophyceae | Laminariales | Laminariaceae | Laminaria | Laminaria digitata,NA,NA,NA,NA,NA
Buccinum undatum,Modiolus modiolus,Subtidal,Both,eats,325,10.1080/00785326.1974.10430593,Buccinum undatum,Modiolus modiolus,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Modiolus modiolus,Subtidal,Both,preys on,40,NA,Modiolus modiolus,Buccinum undatum,"Nahant, MA",NA,NA,NA,ISBN 10: 340370114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Mytilus edulis,Subtidal,Both,eats,356,10.3354/meps142194,Buccinum undatum,Mytilus edulis,Gulf of St. Lawrence,49.408519,-61.4771965,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Mytilus edulis,Subtidal,Both,preys on,73,NA,Buccinum undatum,Mytilus edulis,Isles of Sholes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Ostrea edulis,Subtidal,Both,preys on,885,10.17031/marlinsp.1146.2,Ostrea edulis,Buccinum undatum,British Isles,53.784199,-4.602408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Palmaria palmata,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Palmaria palmata,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,EOL:968088,Plantae | Biliphyta | Rhodophyta | Eurhodophytina | Florideophyceae | Nemaliophycidae | Palmariales | Palmariaceae | Palmaria | Palmaria palmata,NA,NA,NA,NA,NA
